position,CI_2.5,median,CI_97.5,bed,name,core
32.19999999999999,49.9051641442088,49.96721483377909,50.06779402690236,I,top_m,BF1
42.69999999999999,49.950219264923405,50.04130046229915,50.12866624888361,I,base_m,BF1
94.5,50.347983561476646,50.419707879598654,50.58108859280074,H,top_m,BF1
96.79999999999998,50.356790283236826,50.43552873201162,50.611287458210505,H,base_m,BF1
108.7,50.389393684595284,50.5138719396232,50.712923598903416,G2,top_m,BF1
114.1,50.404620217833724,50.54840236967544,50.74708694143347,G2,base_m,BF1
115.6,50.40935120536166,50.55758615367209,50.753144497260465,G1,top_m,BF1
118,50.41657821571102,50.5733091931846,50.76663452779808,G1,base_m,BF1
134.5,50.4833191467683,50.68210845724621,50.828920848585085,F,top_m,BF1
140.5,50.51848859978905,50.72166383407722,50.846896899528005,F,base_m,BF1
149.6,50.59270501262883,50.780891298501224,50.87319048755601,E2,top_m,BF1
153.29999999999998,50.63364131934369,50.80571950770942,50.88500994578447,E2,base_m,BF1
153.6,50.63791300698422,50.80790219482089,50.886073012458155,E1,top_m,BF1
157.29999999999998,50.70623976892377,50.83537128863483,50.90223491006544,E1,base_m,BF1
164.7,50.83722210475996,50.90697670382723,51.03443394020352,D3,top_m,BF1
170.2,50.85919171557512,50.94275124775535,51.07709567187915,D3,base_m,BF1
170.7,50.860813172540134,50.94563848085064,51.080538698379975,D2,top_m,BF1
184.8,50.90951861604641,51.038886783409666,51.140198188851976,D2,base_m,BF1
187,50.92072463736564,51.05343143272418,51.14700222326362,D1,top_m,BF1
187.3,50.92325436494862,51.05558387713207,51.147998293173146,D1,base_m,BF1
197.1,50.99423012025285,51.12034477012766,51.18231183870483,C,top_m,BF1
200.1,51.04831008916397,51.143450174660074,51.19624634685875,C,base_m,BF1
218.7,51.15151065985265,51.21597414408934,51.285124370816284,B,top_m,BF1
226.5,51.16876882206151,51.2366583634352,51.30207905920641,B,base_m,BF1
238.3,51.20228146647946,51.268744324647855,51.3273867946916,A2,top_m,BF1
243.7,51.229944621156704,51.28906894614434,51.346544646558584,A2,base_m,BF1
244.9,51.24194823190139,51.29902818634955,51.3610803649191,A1,top_m,BF1
247,51.25395662025186,51.31261676489444,51.3857361292827,A1,base_m,BF1
31.50000000000003,49.927871121533336,50.002103907141525,50.10090531269167,I,top_m,WM1
36.00000000000003,49.950171464824386,50.03894244893426,50.128589154188006,I,base_m,WM1
77.30000000000001,50.346480792197184,50.4147827155753,50.555544788978224,H,top_m,WM1
79.80000000000001,50.35700103918772,50.435329363694144,50.601516163162465,H,base_m,WM1
89.80000000000001,50.395187626057684,50.516210481915124,50.70323624650044,G2,top_m,WM1
93.60000000000002,50.41004780816542,50.54710871523496,50.73349546099704,G2,base_m,WM1
94.20000000000002,50.41177421882618,50.552102972903306,50.73678106927118,G1,top_m,WM1
96.10000000000002,50.41971838756741,50.567372739308446,50.74879046004353,G1,base_m,WM1
110.60000000000002,50.50116353749625,50.68461732540143,50.818830858756414,F,top_m,WM1
116.20000000000002,50.543693756345895,50.72918478966144,50.842373622819295,F,base_m,WM1
123.70000000000002,50.619221572428295,50.78888962608718,50.87202632447888,E2,top_m,WM1
126.60000000000002,50.6593901163044,50.8121939515598,50.885339914286305,E2,base_m,WM1
126.8,50.663865926423895,50.81378545196581,50.886266464849705,E1,top_m,WM1
130.60000000000002,50.756814038701876,50.846014315419836,50.90754374215532,E1,base_m,WM1
140.00000000000003,50.86049801157935,50.94217905746712,51.070041362107965,D3,top_m,WM1
142.20000000000002,50.870451427550925,50.95973113136966,51.087090860498016,D3,base_m,WM1
142.8,50.872643524134396,50.964262295402534,51.091445099084524,D2,top_m,WM1
153.60000000000002,50.928773646035026,51.053009523228965,51.14613848079197,D2,base_m,WM1
154.8,50.93632873800241,51.062508332765894,51.15071301778018,D1,top_m,WM1
155.50000000000003,50.94105429901732,51.06847419109688,51.15423236453597,D1,base_m,WM1
162.40000000000003,51.01256932047612,51.12344561845359,51.18585845411182,C,top_m,WM1
165.60000000000002,51.08894200074574,51.15436880428657,51.20832452134985,C,base_m,WM1
179.60000000000002,51.154886358448096,51.2153419964629,51.278005399436424,B,top_m,WM1
182.40000000000003,51.16221506384002,51.22416704126077,51.28659817593852,B,base_m,WM1
197.6,51.21161805403129,51.27379386643826,51.33347413303124,A2,top_m,WM1
201.6,51.23343493867397,51.290026411013415,51.34896685622542,A2,base_m,WM1
202.90000000000003,51.24777053398262,51.30517845585774,51.370995550555584,A1,top_m,WM1
206.8,51.27014110233453,51.33551098507007,51.433645256275234,A1,base_m,WM1
33.30000000000001,49.907972995962204,49.96935462973819,50.07254739372957,I,top_m,CCR1
47.39999999999998,49.95836920497687,50.05464729831612,50.133879112148676,I,base_m,CCR1
96.2,50.34004432496765,50.40299089440303,50.55088916473552,H,top_m,CCR1
104.2,50.366141035847036,50.449949565802946,50.65215874792414,H,base_m,CCR1
114.8,50.3908838062305,50.51011818553727,50.720185435014606,G2,top_m,CCR1
124.2,50.413268934098205,50.5631161533763,50.765068552236805,G2,base_m,CCR1
124.5,50.414200554023424,50.56483552090707,50.766766418247414,G1,top_m,CCR1
130.3,50.42932057206746,50.59909185971065,50.789638252165844,G1,base_m,CCR1
142.6,50.46878789372528,50.66715073827934,50.82365904933758,F,top_m,CCR1
153,50.516169644766244,50.72560807314956,50.847847645371026,F,base_m,CCR1
160.2,50.55911910566951,50.7667103154524,50.86344771678517,E2,top_m,CCR1
166.2,50.60983167641528,50.80093574089449,50.880345201236366,E2,base_m,CCR1
166.3,50.610632039088635,50.801511779062906,50.880555834639246,E1,top_m,CCR1
173.7,50.752056256089865,50.848983505997644,50.9069861669315,E1,base_m,CCR1
178.7,50.83053085918674,50.894641249309196,51.01488249845234,D3,top_m,CCR1
179.1,50.83199512416285,50.89721006267555,51.01926156657731,D3,base_m,CCR1
179.4,50.8331986659288,50.899141775903026,51.021658099302655,D2,top_m,CCR1
203.3,50.9108670688886,51.0399109375904,51.14079599627574,D2,base_m,CCR1
205.2,50.91596155274054,51.05104993832115,51.14638337097112,D1,top_m,CCR1
206.7,50.92291673373729,51.05976046431804,51.15020079599757,D1,base_m,CCR1
215.9,50.977310073904974,51.113292052221524,51.178748710495675,C,top_m,CCR1
220.8,51.058743517919375,51.14627047632274,51.200787607123274,C,base_m,CCR1
237.2,51.146386849637494,51.20725658195261,51.27502294211514,B,top_m,CCR1
244.5,51.159258504884804,51.22491642121841,51.29047096761498,B,base_m,CCR1
261.2,51.19732516736158,51.26560852821951,51.32371090112721,A2,top_m,CCR1
268.5,51.23245569523084,51.28981421666944,51.34772336694502,A2,base_m,CCR1
269.6,51.24294837294806,51.298082564636665,51.358563844965644,A1,top_m,CCR1
275.8,51.2658006864563,51.32767929716895,51.41324051262046,A1,base_m,CCR1
